sgguCd,h_code,sigungu_name,sido_name_short,sido_name_full,status
110002,11250.0,강동구,서울,서울특별시,MATCH
110003,11160.0,강서구,서울,서울특별시,MATCH
110004,11210.0,관악구,서울,서울특별시,MATCH
110005,11170.0,구로구,서울,서울특별시,MATCH
110006,11100.0,도봉구,서울,서울특별시,MATCH
110007,11060.0,동대문구,서울,서울특별시,MATCH
110008,11200.0,동작구,서울,서울특별시,MATCH
110009,11140.0,마포구,서울,서울특별시,MATCH
110010,11130.0,서대문구,서울,서울특별시,MATCH
110011,11040.0,성동구,서울,서울특별시,MATCH
110012,11080.0,성북구,서울,서울특별시,MATCH
110013,11190.0,영등포구,서울,서울특별시,MATCH
110014,11030.0,용산구,서울,서울특별시,MATCH
110015,11120.0,은평구,서울,서울특별시,MATCH
110016,11010.0,종로구,서울,서울특별시,MATCH
110017,11020.0,중구,서울,서울특별시,MATCH
110018,11240.0,송파구,서울,서울특별시,MATCH
110019,11070.0,중랑구,서울,서울특별시,MATCH
110020,11150.0,양천구,서울,서울특별시,MATCH
110021,11220.0,서초구,서울,서울특별시,MATCH
110022,11110.0,노원구,서울,서울특별시,MATCH
110023,11050.0,광진구,서울,서울특별시,MATCH
110024,11090.0,강북구,서울,서울특별시,MATCH
110025,11180.0,금천구,서울,서울특별시,MATCH
210001,21070.0,부산남구,부산,부산광역시,MATCH
210002,21030.0,부산동구,부산,부산광역시,MATCH
210003,21060.0,부산동래구,부산,부산광역시,MATCH
210004,21050.0,부산진구,부산,부산광역시,MATCH
210005,21080.0,부산북구,부산,부산광역시,MATCH
210006,21020.0,부산서구,부산,부산광역시,MATCH
210007,21040.0,부산영도구,부산,부산광역시,MATCH
210008,21010.0,부산중구,부산,부산광역시,MATCH
210009,21090.0,부산해운대구,부산,부산광역시,MATCH
210010,21100.0,부산사하구,부산,부산광역시,MATCH
210011,21110.0,부산금정구,부산,부산광역시,MATCH
210012,21120.0,부산강서구,부산,부산광역시,MATCH
210013,21130.0,부산연제구,부산,부산광역시,MATCH
210014,21140.0,부산수영구,부산,부산광역시,MATCH
210015,21150.0,부산사상구,부산,부산광역시,MATCH
210100,21310.0,부산기장군,부산,부산광역시,MATCH
