h_code,in_main_221,in_hira_168
11010,True,True
11020,True,True
11030,True,True
11040,True,True
11050,True,True
11060,True,True
11070,True,True
11080,True,True
11090,True,True
11100,True,True
11110,True,True
11120,True,True
11130,True,True
11140,True,True
11150,True,True
11160,True,True
11170,True,True
11180,True,True
11190,True,True
11200,True,True
11210,True,True
11220,True,True
11240,True,True
11250,True,True
21010,True,True
21020,True,True
21030,True,True
21040,True,True
21050,True,True
21060,True,True
21070,True,True
21080,True,True
21090,True,True
21100,True,True
21110,True,True
21120,True,True
21130,True,True
21140,True,True
21150,True,True
23010,True,True
23020,True,True
23040,True,True
23050,True,True
23060,True,True
23080,True,True
23090,True,True
29010,True,True
31011,True,True
31012,True,True
31013,True,True
31023,True,True
31030,True,True
31041,True,True
31042,True,True
31070,True,True
31110,True,True
31120,True,True
31130,True,True
31140,True,True
31150,True,True
31160,True,True
31170,True,True
31180,True,True
31220,True,True
31230,True,True
31250,True,True
31260,True,True
31270,True,True
31280,True,True
32310,True,True
32330,True,True
32340,True,True
32350,True,True
32360,True,True
32370,True,True
32380,True,True
32390,True,True
32400,True,True
32410,True,True
33020,True,True
33030,True,True
33041,True,True
33043,True,True
33390,True,True
34020,True,True
34030,True,True
34040,True,True
34050,True,True
34070,True,True
34080,True,True
34310,True,True
34330,True,True
34340,True,True
34350,True,True
34360,True,True
34370,True,True
34380,True,True
35011,True,True
35012,True,True
35020,True,True
35030,True,True
35040,True,True
35050,True,True
35060,True,True
35310,True,True
35320,True,True
35330,True,True
35340,True,True
35350,True,True
35360,True,True
35370,True,True
35380,True,True
36310,True,True
36320,True,True
36330,True,True
36350,True,True
36360,True,True
36390,True,True
36420,True,True
36480,True,True
37011,True,True
37012,True,True
37060,True,True
37070,True,True
37080,True,True
37090,True,True
37100,True,True
38050,True,True
38060,True,True
38070,True,True
38080,True,True
38090,True,True
38100,True,True
38113,True,True
38114,True,True
38310,True,True
38320,True,True
38330,True,True
38340,True,True
38350,True,True
38360,True,True
38370,True,True
38380,True,True
38390,True,True
38400,True,True
39010,True,True
39020,True,True
