year,sido_raw,sgg_raw,raw_code,is_missing,n_deaths
1997,11,010,11010,False,966
1997,11,020,11020,False,682
1997,11,030,11030,False,1101
1997,11,040,11040,False,1233
1997,11,050,11050,False,1324
1997,11,060,11060,False,1588
1997,11,070,11070,False,1790
1997,11,080,11080,False,2035
1997,11,090,11090,False,1589
1997,11,100,11100,False,1245
1997,11,110,11110,False,2154
1997,11,120,11120,False,1954
1997,11,130,11130,False,1479
1997,11,140,11140,False,1699
1997,11,150,11150,False,1583
1997,11,160,11160,False,1915
1997,11,170,11170,False,1363
1997,11,180,11180,False,907
1997,11,190,11190,False,1439
1997,11,200,11200,False,1660
1997,11,210,11210,False,1836
1997,11,220,11220,False,1302
1997,11,230,11230,False,1742
1997,11,240,11240,False,2033
1997,11,250,11250,False,1560
1997,21,010,21010,False,332
1997,21,020,21020,False,992
1997,21,030,21030,False,827
1997,21,040,21040,False,1092
1997,21,050,21050,False,2211
1997,21,060,21060,False,1307
1997,21,070,21070,False,1377
1997,21,080,21080,False,1168
1997,21,090,21090,False,1619
1997,21,100,21100,False,1732
1997,21,110,21110,False,1274
1997,21,120,21120,False,517
1997,21,130,21130,False,1022
1997,21,140,21140,False,812
1997,21,150,21150,False,1196
1997,21,310,21310,False,527
1997,22,010,22010,False,639
1997,22,020,22020,False,1682
1997,22,030,22030,False,1327
1997,22,040,22040,False,1120
1997,22,050,22050,False,1695
1997,22,060,22060,False,1927
1997,22,070,22070,False,1827
1997,22,310,22310,False,853
1997,23,010,23010,False,520
1997,23,020,23020,False,619
1997,23,030,23030,False,1925
1997,23,040,23040,False,868
1997,23,050,23050,False,1527
1997,23,060,23060,False,1934
1997,23,070,23070,False,875
1997,23,080,23080,False,1116
1997,23,310,23310,False,663
1997,23,320,23320,False,156
1997,24,010,24010,False,772
1997,24,020,24020,False,972
1997,24,030,24030,False,1074
1997,24,040,24040,False,1881
1997,24,050,24050,False,1036
1997,25,010,25010,False,1303
1997,25,020,25020,False,1250
1997,25,030,25030,False,1521
1997,25,040,25040,False,532
1997,25,050,25050,False,838
1997,26,010,26010,False,939
1997,26,020,26020,False,1012
1997,26,030,26030,False,588
1997,26,040,26040,False,184
1997,26,310,26310,False,1023
1997,31,011,31011,False,943
1997,31,012,31012,False,1013
1997,31,013,31013,False,744
1997,31,021,31021,False,1022
1997,31,022,31022,False,1042
1997,31,023,31023,False,1207
