spec,param,estimate,wald_se,wald_ci_lo,wald_ci_hi,F_first_stage,AR_stat_at_0,AR_p_at_0,AR_ci_lo,AR_ci_hi,LMP_c0.05_F,LMP_t_stat,LMP_valid,LMP_p,n
"Area 1 — Main IV (z_x_bi instrumented by z_x_ADH8, n≈221)",β_IV,-0.100261,0.027263,-0.153697,-0.046825,19.650000,7.591172,0.005865,-0.149357,-0.036467,3.286000,-3.677492,True,0.028270,221
Area 2.1 — DGHP M1 N05BA (paper F=22.59),γ_FS (z_x → ΔM),-0.209783,0.050957,-0.309659,-0.109907,22.590000,16.948516,0.000038,-0.309659,-0.109907,2.903645,-4.116858,True,,138
Area 2.1 — DGHP M1 N05BA (paper F=22.59)  [ACME],ACME = γ_FS × δ_M,-0.023331,0.012235,-0.047312,0.000649,22.590000,,,-0.065810,-0.001089,2.903645,,True,,138
Area 2.2 — DGHP M3 divorce (paper F=55.73),γ_FS (z_x → ΔM),0.144933,0.019415,0.106880,0.182987,55.730000,55.726320,0.000000,0.106880,0.182987,2.004270,7.465006,True,,210
Area 2.2 — DGHP M3 divorce (paper F=55.73)  [ACME],ACME = γ_FS × δ_M,-0.095714,0.017581,-0.130174,-0.061254,55.730000,,,-0.150613,-0.053196,2.004270,,True,,210
Area 2.3 — DGHP M3 fertility (paper F=14.26),γ_FS (z_x → ΔM),0.046754,0.012380,0.022490,0.071019,14.260000,14.263161,0.000159,0.022490,0.071019,4.010200,3.776660,False,,213
Area 2.3 — DGHP M3 fertility (paper F=14.26)  [ACME],ACME = γ_FS × δ_M,-0.033358,0.010278,-0.053503,-0.013213,14.260000,,,-0.066318,-0.011091,4.010200,,False,,213
"Area 2.4 — DGHP M3 marriage (paper F=5.95, very weak)",γ_FS (z_x → ΔM),0.034155,0.013997,0.006721,0.061590,5.950000,5.954213,0.014682,0.006721,0.061590,6.280612,2.440126,False,,210
"Area 2.4 — DGHP M3 marriage (paper F=5.95, very weak)  [ACME]",ACME = γ_FS × δ_M,-0.009902,0.006444,-0.022532,0.002728,5.950000,,,-0.035548,-0.000018,6.280612,,False,,210
"Area 2.5 — DGHP M6 suicide (paper F=2.38, extremely weak)",γ_FS (z_x → ΔM),-0.042825,0.027766,-0.097246,0.011596,2.380000,2.378900,0.122984,-0.097246,0.011596,8.241473,-1.542368,False,,205
"Area 2.5 — DGHP M6 suicide (paper F=2.38, extremely weak)  [ACME]",ACME = γ_FS × δ_M,-0.024096,0.015870,-0.055202,0.007010,2.380000,,,-0.067148,0.008007,8.241473,,False,,205
Joint multimediator (n=133) — M1 N05BA,γ_FS (joint sample),-0.204004,0.051312,-0.304575,-0.103432,22.060000,15.806608,0.000070,-0.304575,-0.103432,3.011355,-3.975753,True,,133
Joint multimediator (n=133) — M1 N05BA  [ACME_joint],ACME_joint = γ_FS × δ_M_joint,-0.011538,0.009172,-0.029516,0.006440,22.060000,,,-0.042688,0.008235,3.011355,,True,,133
Joint multimediator (n=133) — M3 divorce,γ_FS (joint sample),0.159210,0.019132,0.121712,0.196709,74.290000,69.251805,0.000000,0.121712,0.196709,1.985710,8.321767,True,,133
Joint multimediator (n=133) — M3 divorce  [ACME_joint],ACME_joint = γ_FS × δ_M_joint,-0.067983,0.020944,-0.109033,-0.026933,74.290000,,,-0.130696,-0.023076,1.985710,,True,,133
Joint multimediator (n=133) — M3 fertility,γ_FS (joint sample),0.041511,0.015287,0.011548,0.071474,8.770000,7.373374,0.006620,0.011548,0.071474,5.277580,2.715396,False,,133
Joint multimediator (n=133) — M3 fertility  [ACME_joint],ACME_joint = γ_FS × δ_M_joint,-0.025158,0.011646,-0.047985,-0.002331,8.770000,,,-0.067132,-0.003151,5.277580,,False,,133
