spec,layer,SE,t,p,beta,n,G
Drop-Top-3 (primary E_h),HC1 (White 1980),0.03887998309676941,-2.6409851823576056,0.00826653347223294,-0.1026814592488822,221,16
Drop-Top-3 (primary E_h),"Cluster-province CR1 (G=16, t-dist)",0.04102574366100979,-2.5028543077079917,0.024368113947374814,-0.1026814592488822,221,16
Drop-Top-3 (primary E_h),AKM-proper (ADM 2019 exposure design),0.028526391669488678,-3.599524974576734,0.0003187990155939513,-0.1026814592488822,221,16
Drop-Top-3 (primary E_h),Conley 5 km (uniform kernel),0.03873609519381627,-2.6507953043566976,0.00803024932170704,-0.1026814592488822,221,16
Drop-Top-3 (primary E_h),Conley 10 km (uniform kernel),0.03895715023878876,-2.635753863398472,0.00839506025273673,-0.1026814592488822,221,16
Drop-Top-3 (primary E_h),"WCR Webb 6-pt (B=9,999)",,,0.014001400140014001,-0.1026814592488822,221,16
Drop-Top-3 (alt ¬top3 E_h),HC1 (White 1980),0.029807035220984456,-4.105481810088262,4.034730337920678e-05,-0.12237224091241185,221,16
Drop-Top-3 (alt ¬top3 E_h),"Cluster-province CR1 (G=16, t-dist)",0.044063577924691705,-2.7771744074336433,0.014093655080173129,-0.12237224091241185,221,16
Drop-Top-3 (alt ¬top3 E_h),AKM-proper (ADM 2019 exposure design),0.031109181080607992,-3.933637487767011,8.36699436663757e-05,-0.12237224091241185,221,16
Drop-Top-3 (alt ¬top3 E_h),Conley 5 km (uniform kernel),0.029956959317501464,-4.084935310537992,4.408909793163218e-05,-0.12237224091241185,221,16
Drop-Top-3 (alt ¬top3 E_h),Conley 10 km (uniform kernel),0.031462605118316465,-3.8894503634465685,0.00010047151508851826,-0.12237224091241185,221,16
Drop-Top-3 (alt ¬top3 E_h),"WCR Webb 6-pt (B=9,999)",,,0.0009000900090009,-0.12237224091241185,221,16
