ksic9_2digit,sk2,dM,alpha_num,alpha_k,rank,cum_alpha
C26,1.7374590437453474,19837137272.0,6.837110095416468e+20,0.7008896974808629,1,0.7008896974808629
C10,30.637238261304056,1602240329.0,7.86511236982467e+19,0.08062728481197022,2,0.7815169822928332
C24,1.6360292972605575,6906469407.0,7.803748443923364e+19,0.07999822746374884,3,0.861515209756582
C20,1.6001417049460813,4384008362.0,3.0753970411303203e+19,0.03152668410643857,4,0.8930418938630206
C14,6.291539884417745,2028363637.0,2.58850248695476e+19,0.026535403111710043,5,0.9195772969747307
C25,2.103220589253915,3138770619.0,2.0720678959340306e+19,0.021241299620355866,6,0.9408185965950865
C23,5.019718868471243,1812592613.0,1.6492246087741626e+19,0.016906624597088728,7,0.9577252211921752
C29,1.9811642426861944,2764197096.0,1.5137651188093708e+19,0.0155179946113586,8,0.9732432158035338
C30,1.748863194755923,2154915180.0,8.12112507134512e+18,0.008325173669903608,9,0.9815683894734374
C13,5.296270374458317,1130713903.0,6.771355453108358e+18,0.006941490203947662,10,0.988509879677385
C28,0.3487205674625457,4216557891.0,6.200028664601532e+18,0.0063558084548301355,11,0.9948656881322151
C31,0.6578805995770698,1695944600.0,1.892214657915163e+18,0.0019397577933462078,12,0.9968054459255613
C15,1.033530937343076,1136747590.0,1.3355235957463457e+18,0.0013690795027986055,13,0.9981745254283599
C32,1.3107649473698708,858046427.0,9.650423965222103e+17,0.0009892897202402853,14,0.9991638151486002
C22,0.642305402166948,1015293962.0,6.621024296140855e+17,0.0006787381877975938,15,0.9998425533363978
C27,0.0508905076417991,1278977974.0,8.32459116371236e+16,8.533751981407602e-05,16,0.9999278908562119
C16,0.8964510082716504,208902120.0,3.912120782763756e+16,4.010415385556058e-05,17,0.9999679950100675
C17,0.22860326560234678,331196691.0,2.5075777530366604e+16,2.570582290189888e-05,18,0.9999937008329693
C33,0.005270615088968346,802500587.0,3394314024272683.5,3.479598392341841e-06,19,0.9999971804313617
C18,1.846387773341495,36729931.0,2490939276811048.5,2.5535257613267217e-06,20,0.9999997339571229
C19,0.002401085761206597,328763375.0,259522211066688.53,2.660428769840017e-07,21,0.9999999999999999
C12,0.0,26419555.0,0.0,0.0,22,0.9999999999999999
